layer_height (A),nozzle temperature (B),bed_temperature (C),fan_speed (D)
0.05(-),220(-),60(-),50(-)
0.05(-),220(-),60(-),100(+)
0.05(-),220(-),80(+),50(-)
0.05(-),220(-),80(+),100(+)
0.05(-),240(+),60(-),50(-)
0.05(-),240(+),60(-),100(+)
0.05(-),240(+),80(+),50(-)
0.05(-),240(+),80(+),100(+)
0.1(+),220(-),60(-),50(-)
0.1(+),220(-),60(-),100(+)
0.1(+),220(-),80(+),50(-)
0.1(+),220(-),80(+),100(+)
0.1(+),240(+),60(-),50(-)
0.1(+),240(+),60(-),100(+)
0.1(+),240(+),80(+),50(-)
0.1(+),240(+),80(+),100(+)
